,title,description,originallink,link,pubDate
784,"김호영 ""&apos;우영우&apos; 박은빈 덕분에 15년만 재조명받고 있어"" (&apos;라스&apos;)","뮤지컬 배우 김호영이 드라마 ‘이상한 변호사 우영우’를 통해 대세로 떠오른 배우 박은빈 덕분에 15년 만에 재조명받고 있는 작품이 있다고 공개한다. 오는 17일 방송되는 MBC 예능 ‘라디오스타’는 류승수, 김규리... ",https://tenasia.hankyung.com/tv/article/2022081660584,https://n.news.naver.com/mnews/article/312/0000564172?sid=106,"Tue, 16 Aug 2022 13:18:00 +0900"
785,"이봉련 ‘우영우’ 찍고 ‘일타 스캔들’ 합류, 전도연과 절친 호흡[공식]","최근 화제작 ‘이상한 변호사 우영우’에 변호사 ‘류재숙’역으로 특별 출연, 단단한 발성과 정확한 발음, 담백하면서도 깊은 연기를 선보이며 단 1회 출연만으로도 시청자들의 뜨거운 반응을 이끌어냈다. ‘일타... ",https://www.newsen.com/news_view.php?uid=202208161308541910,https://n.news.naver.com/mnews/article/609/0000615811?sid=106,"Tue, 16 Aug 2022 13:12:00 +0900"
786,민영화 KT 20년...덕률풍부터 5G까지 한국 통신역사 137년 공개,‘이상한 변호사 우영우’도 이를 기반으로 마련됐다. KT는 글로벌 통신 확대와 남북 통신 교류에도 앞장섰다. 허건 KT 광고홍보팀장은 “2002년 아시아태평양 8개국 해저 광케이블 개통으로 아시아태평양 지역... ,https://zdnet.co.kr/view/?no=20220816113819,https://n.news.naver.com/mnews/article/092/0002265428?sid=105,"Tue, 16 Aug 2022 13:02:00 +0900"
787,&apos;우영우&apos; 박은빈-강태오 제주도 이별 후폭풍 겪는다...재회 가능성은?,"사진=ENA &apos;이상한 변호사 우영우&apos; 박은빈, 강태오가 이별 후유증을 겪는다. ENA채널 &apos;이상한 변호사 우영우&apos; 측은 16일, 제주도 출장에서 돌아온 우영우(박은빈 분)와 이준호(강태오 분)의 달라진 일상을 공개했다. 서로의... ",http://www.newsinside.kr/news/articleView.html?idxno=1140363,http://www.newsinside.kr/news/articleView.html?idxno=1140363,"Tue, 16 Aug 2022 12:48:00 +0900"
788,"강태오, 오각형 얼굴은 무슨 말도 안 돼…턱근육 연기 창시자",드라마 ‘이상한 변호사 우영우’를 통해 재조명된 강태오는 군 입대를 앞두고 있다. 극중 이준호 역을 맡아 일명 ‘턱근육 연기’를 소화하고 있는 강태오. 이와 관련해 “그냥 밥 먹는다고 생각하고 (연기 했다) 제가 (턱... ,,https://n.news.naver.com/mnews/article/415/0000012256?sid=106,"Tue, 16 Aug 2022 12:45:00 +0900"
789,눈물 그렁그렁해진 채 블라인드 틈으로 이준호 몰래 지켜본 우영우,= 드라마 &apos;이상한 변호사 우영우&apos;의 남녀 주인공인 우영우(박은빈 분)와 이준호(강태오 분)가 &apos;이별 후폭풍&apos;을 맞았다.16일 ENA 드라마 &apos;이상한 변호사 우영우&apos; 측은 제주도 출장에서 돌아온 우영우와 이준호의 달라진 일상을... ,https://www.insight.co.kr/news/408137,https://www.insight.co.kr/news/408137,"Tue, 16 Aug 2022 12:36:00 +0900"
790,"통신 3사, 갤Z폴드4·플립4 사전예약 경쟁 돌입...혜택  많은 이벤트 어디...","/사진=KT KT는 갤럭시 Z플립4의 화이트 색상을 `우영우 에디션`과 `Y에디션` 등 두 가지 스페셜 에디션으로 출시키로 했다. `우영우 에디션`은 Z플립4 화이트와 피크닉 매트, 머그컵으로 구성됐다. 미디어 계열사... ",http://www.issuenbiz.com/news/articleView.html?idxno=16087,http://www.issuenbiz.com/news/articleView.html?idxno=16087,"Tue, 16 Aug 2022 12:32:00 +0900"
791,&apos;우영우&apos; 박은빈이 오스카 수상?,"최근 ENA 드라마 &apos;이상한 변호사 우영우&apos;가 큰 인기를 끌자 박은빈을 활용해 가짜뉴스를 양산한 것으로 보인다. 이같은 가짜뉴스는 처음이 아니다. 지난 달에는 아사다 마오 사망, 신동엽 교통사고 설 등을 제기하며... ",https://www.gukjenews.com/news/articleView.html?idxno=2529707,https://www.gukjenews.com/news/articleView.html?idxno=2529707,"Tue, 16 Aug 2022 12:32:00 +0900"
792,김기수 “소름 끼쳐요 징그러워요 더러워요”…그가 경악한 &apos;악플 한 줄&apos;,"요즘 &apos;이상한 변호사 우영우&apos;가 핫하지 않나. 그걸 한 유튜버가 패러디했는데 장애인 비하를 한다고 저격당했다""며 ""제 생각은, 그분은 장애인을 비하한 게 아니라 드라마를 패러디한 것뿐""이라고 말해 논란에 휩싸였다.... ",https://www.wikitree.co.kr/articles/780683,https://www.wikitree.co.kr/articles/780683,"Tue, 16 Aug 2022 12:24:00 +0900"
793,KT스카이라이프 가성비 &apos;99월정액&apos; 출시,주요 편성작으로는 △최고 시청률 15.8%를 기록한 &apos;이상한 변호사 우영우&apos; △2억 5000만뷰를 기록한 장삐쭈 원작의 군대 리얼 드라마 &apos;신병&apos; ENA 인기 콘텐츠 △애로부부 △강철부대 △구필수는 없다 등과 인기 영화... ,http://www.naeil.com/news_view/?id_art=432601,http://www.naeil.com/news_view/?id_art=432601,"Tue, 16 Aug 2022 12:20:00 +0900"
794,"한혜진, 母와 &apos;우영우&apos; 인사법 ""엄마가 하자고 했다"" [리포트:컷]",영상에는 “우영우가 엄마를 망쳐놨다”라는 글과 함께 한혜진과 한혜진의 어머니가 밥상 앞에 나란히 앉아 ‘이상한 변호사 우영우’에서 우영우와 동그라미가 나눈 인사법을 따라하는 모습이 담겨있다. 모녀간의... ,https://www.tvreport.co.kr/2112552,https://n.news.naver.com/mnews/article/213/0001225777?sid=106,"Tue, 16 Aug 2022 12:16:00 +0900"
795,삼성 4세대 폴더블폰 오늘부터 사전예약…통신사별 한정판 에디션 출시,KT는 최근 MZ세대를 중심으로 인기를 끌고 있는 드라마 ‘이상한 변호사 우영우’ 콘텐츠를 활용해 ‘우영우 에디션’을 출시한다. 자사 20대 전용 브랜드 Y를 통해 의류브랜드 나이스웨더와 협업한 Y에디션도... ,http://thepublic.kr/news/newsview.php?ncode=1065575111705200,http://thepublic.kr/news/newsview.php?ncode=1065575111705200,"Tue, 16 Aug 2022 12:12:00 +0900"
796,"삼성전자, &apos;갤럭시 Z 플립4&apos;·&apos;갤럭시 Z 폴드4&apos; 사전 판매 실시","KT는 머그컵, 피크닉 매트로 구성된 &apos;우영우 에디션&apos;과 케이스와 팔레트, 컵, 키링, 스티커, 수건으로 구성된 &apos;나이스웨더 에디션&apos;으로 가격은 각각 138만 6000원과 139만 7000원이다. LGU+는 메종키츠네 액세서리와... ",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160276724882076,https://www.siminilbo.co.kr/news/newsview.php?ncode=1160276724882076,"Tue, 16 Aug 2022 12:08:00 +0900"
